'Material Deprivation',Affordability,'Income Inequality','Community Environment Profile','Consumer Opportunity Profile','Economic Opportunity Profile','Population Churning',Education,'Job Participation','Employment Accessibility','Access to Care','Health Opportunity Index'
0.335045,0.424424,0.632524,0.443279,0.508921,0.295042,0.207379,0.729827,0.497,0.073318,0.379082,Bad
0.071783,0.304304,0.372335,0.457597,0.448636,0.26251,0.889313,0.674102,0.697,0.083531,0.466355,Bad
0.25837,0.426426,0.405938,0.523733,0.589553,0.273948,0.678117,0.723876,0.734,0.109451,0.507641,Bad
0.412369,0.378378,0.370715,0.255535,0.55925,0.158188,0.975827,0.614238,0.404,0.001367,0.194204,Bad
0.463536,0.673674,0.492443,0.585496,0.830078,0.305023,0.842239,0.882433,0.612,0.101162,0.421579,Bad
0.788828,0.681682,0.265182,0.275289,0.740735,0.078181,0.552163,0.620238,0.08,0.009686,0.404455,Bad
0.300422,0.501502,0.381781,0.357589,0.371,0.259217,0.573791,0.729933,0.443,0.064531,0.416583,Bad
0.384895,0.565566,0.306478,0.561117,0.799613,0.20706,0.688295,0.874759,0.643,0.09915,0.464126,Bad
0.214795,0.295295,0.390148,0.489657,0.451689,0.272404,0.768448,0.663541,0.714,0.109413,0.463605,Bad
0.347836,0.515516,0.406478,0.618232,0.666287,0.310574,0.519084,0.842097,0.827,0.145003,0.511384,Bad
0.303698,0.352352,0.402564,0.442886,0.480039,0.255406,0.687023,0.650326,0.553,0.091935,0.496906,Bad
0.314979,0.630631,0.469366,0.550733,0.700582,0.294301,0.729008,0.792922,0.675,0.100925,0.466574,Bad
0.366523,0.387387,0.345209,0.380899,0.556847,0.216716,0.835878,0.722342,0.602,0.054912,0.238146,Bad
0.093537,0.682683,0.341026,0.422649,0.609618,0.185636,0.823155,0.663291,0.479,0.050384,0.466355,Bad
0.188236,0.33033,0.425101,0.537087,0.200089,0.309011,0.704835,0.699931,0.735,0.097693,0.502987,Bad
0.367484,0.428428,0.719838,0.390048,0.543656,0.256371,0.403308,0.698743,0.264,0.005738,0.486983,Bad
0.384624,0.254254,0.393387,0.25985,0.462768,0.188129,0.96056,0.627931,0.447,0.019501,0.106918,Bad
0.325489,0.314314,0.273549,0.280285,0.171224,0.273923,0.889313,0.61352,0.526,0.086415,0.224278,Bad
0.23002,0.536537,0.384345,0.512449,0.562007,0.308246,0.70229,0.677509,0.787,0.11587,0.48887,Bad
0.257885,0.308308,0.488259,0.395499,0.291486,0.324552,0.791349,0.67069,0.479,0.106908,0.463298,Bad
0.083288,0.188188,0.383131,0.420778,0.218259,0.27479,0.792621,0.660326,0.523,0.082246,0.485424,Bad
0.350222,0.452452,0.364642,0.307416,0.462621,0.210269,0.846056,0.648075,0.486,0.01177,0.411725,Bad
0.40453,0.487487,0.360594,0.275727,0.591907,0.164845,0.877863,0.650096,0.454,0.004082,0.204735,Bad
0.479229,0.379379,0.483671,0.330902,0.50355,0.231896,0.806616,0.643611,0.514,0.012771,0.220254,Bad
0.322404,0.357357,0.420243,0.343714,0.411725,0.251976,0.765903,0.677861,0.479,0.069395,0.328633,Bad
0.266709,0.3003,0.365317,0.432713,0.481706,0.261796,0.774809,0.699562,0.591,0.106692,0.440598,Bad
0.366554,0.404404,0.239946,0.317342,0.597987,0.145022,0.933842,0.663937,0.515,0.010798,0.411199,Bad
0.378972,0.66967,0.340891,0.628319,0.81402,0.284609,0.698473,0.906173,0.831,0.12955,0.424491,Bad
0.242994,0.257257,0.418084,0.439541,0.448026,0.253832,0.854962,0.651254,0.562,0.08323,0.502987,Bad
0.262006,0.513514,0.410661,0.345513,0.467584,0.240454,0.74173,0.664499,0.543,0.055682,0.226138,Bad
0.253447,0.388388,0.395412,0.303806,0.380035,0.220533,0.811705,0.642075,0.48,0.026039,0.236437,Bad
0.188306,0.39039,0.407152,0.502108,0.548551,0.308655,0.909669,0.681569,0.776,0.118249,0.468688,Bad
0.248765,0.540541,0.476113,0.573851,0.614132,0.348541,0.553435,0.817664,0.842,0.146696,0.443668,Bad
0.192196,0.406406,0.429825,0.511965,0.437047,0.311489,0.459288,0.687401,0.65,0.151822,0.470512,Bad
0.331673,0.36036,0.405398,0.328373,0.511181,0.214167,0.755725,0.639802,0.576,0.028996,0.232885,Bad
0.36786,0.468468,0.389204,0.309059,0.581453,0.198011,0.835878,0.657218,0.53,0.023137,0.231675,Bad
0.379534,0.572573,0.316464,0.59162,0.73911,0.247937,0.676845,0.843093,0.785,0.119271,0.510272,Bad
0.357391,0.361361,0.271255,0.377834,0.611916,0.131789,0.880407,0.685181,0.558,0.022297,0.374736,Bad
0.144706,0.358358,0.483941,0.455522,0.384984,0.343098,0.568702,0.664218,0.775,0.111378,0.514292,Bad
0.288909,0.515516,0.374494,0.357461,0.472473,0.245991,0.753181,0.684334,0.554,0.074332,0.210293,Bad
0.256377,0.281281,0.446289,0.428199,0.404844,0.273431,0.79771,0.591344,0.56,0.096649,0.50232,Bad
0.240435,0.419419,0.567341,0.483668,0.496761,0.330785,0.339695,0.783596,0.68,0.121356,0.445881,Bad
0.374517,0.242242,0.389609,0.300323,0.43438,0.240092,0.937659,0.624198,0.484,0.085214,0.216583,Bad
0.249949,0.349349,0.31417,0.461828,0.612379,0.145719,0.445293,0.897397,0.336,0.065229,0.658162,Bad
0.391091,0.23023,0.206883,0.311345,0.390448,0.214241,0.926209,0.696285,0.523,0.09596,0.328633,Bad
0.10475,0.256256,0.438596,0.490592,0.38746,0.33084,0.591603,0.721267,0.656,0.154023,0.537191,Bad
0.408213,0.302302,0.300675,0.266243,0.52456,0.170029,0.935115,0.609833,0.491,0.022983,0.284416,Bad
0.343464,0.50951,0.28583,0.428898,0.498402,0.250655,0.6743,0.769403,0.576,0.099686,0.504001,Bad
0.209111,0.183183,0.324022,0.405588,0.39889,0.242745,0.824427,0.664292,0.611,0.090681,0.471356,Bad
0.376075,0.382382,0.379082,0.310409,0.517594,0.22282,0.926209,0.681683,0.576,0.031189,0.255174,Bad
0.275093,0.422422,0.453306,0.497293,0.511772,0.317465,0.59542,0.737329,0.678,0.136924,0.349191,Bad
0.245051,0.436436,0.292173,0.423828,0.562656,0.226867,0.847328,0.683217,0.585,0.102791,0.471965,Bad
0.480446,0.4004,0.446829,0.246562,0.524126,0.171793,0.861323,0.605947,0.256,0.00901,0.196589,Bad
0.372412,0.474474,0.4278,0.332966,0.553117,0.250574,0.784987,0.679479,0.604,0.061572,0.147953,Bad
0.23503,0.402402,0.40081,0.37147,0.408536,0.260022,0.727735,0.653607,0.518,0.090881,0.328633,Bad
0.417473,0.378378,0.422537,0.313949,0.554031,0.18598,0.849873,0.638445,0.358,0.011726,0.488069,Bad
0.157172,0.262262,0.363293,0.442888,0.438046,0.279808,0.796438,0.682005,0.667,0.120815,0.494368,Bad
0.539173,0.466466,0.409312,0.347114,0.641435,0.195957,0.748092,0.695876,0.536,0.01644,0.23291,Bad
0.345032,0.608609,0.518354,0.564123,0.738001,0.321065,0.872774,0.83093,0.722,0.094355,0.458152,Bad
0.275178,0.591592,0.213495,0.479626,0.680135,0.221406,0.715013,0.783612,0.731,0.105719,0.455955,Bad
0.305863,0.61962,0.430364,0.488698,0.705204,0.264626,0.805344,0.802269,0.616,0.088873,0.442811,Bad
0.296753,0.079079,0.368151,0.386709,0.367206,0.270116,0.832061,0.663377,0.668,0.09016,0.499915,Bad
0.241124,0.341341,0.513765,0.463276,0.442831,0.338151,0.645038,0.697167,0.683,0.127907,0.385908,Bad
0.415196,0.654655,0.565722,0.618721,0.728254,0.370821,0.445293,0.891523,0.783,0.149284,0.41577,Bad
0.495088,0.653654,0.280027,0.410181,0.714962,0.128086,0.395674,0.724306,0.432,0.02873,0.348758,Bad
0.369533,0.67968,0.564372,0.645253,0.765695,0.326028,0.47201,0.907046,0.816,0.110247,0.406485,Bad
0.307392,0.39039,0.42969,0.431928,0.501199,0.223068,0.517812,0.690488,0.489,0.062948,0.503776,Bad
0.362888,0.435435,0.427395,0.393463,0.439006,0.288468,0.689567,0.709902,0.614,0.090347,0.348758,Bad
0.171229,0.221221,0.42753,0.40186,0.371645,0.279479,0.881679,0.574266,0.648,0.105902,0.502916,Bad
0.256812,0.348348,0.480837,0.408586,0.409948,0.287132,0.629771,0.611881,0.545,0.095014,0.466355,Bad
0.264376,0.335335,0.47139,0.411769,0.347419,0.30859,0.884224,0.643204,0.608,0.092391,0.456934,Bad
0.445606,0.528529,0.334953,0.450919,0.709075,0.223056,0.773537,0.821802,0.676,0.07897,0.241573,Bad
0.314881,0.516517,0.436032,0.479141,0.593317,0.303484,0.596692,0.768972,0.711,0.124773,0.415005,Bad
0.269559,0.397397,0.389204,0.359901,0.533281,0.234288,0.740458,0.725768,0.497,0.09413,0.258644,Bad
0.122399,0.208208,0.307287,0.406002,0.281042,0.309695,0.874046,0.722269,0.722,0.136634,0.506682,Bad
0.444109,0.504505,0.393387,0.374933,0.631315,0.212899,0.601781,0.748621,0.406,0.077514,0.305221,Bad
0.361077,0.358358,0.409312,0.304686,0.509176,0.207234,0.872774,0.617582,0.473,0.021794,0.417318,Bad
0.297236,0.477477,0.434818,0.359834,0.526598,0.244166,0.673028,0.650131,0.503,0.069856,0.435096,Bad
0.286601,0.684685,0.502969,0.605626,0.725838,0.31888,0.652672,0.851803,0.747,0.133098,0.406108,Bad
0.281854,0.389389,0.394062,0.289267,0.369468,0.238966,0.941476,0.643385,0.521,0.02594,0.260628,Bad
0.477011,0.334334,0.355601,0.317238,0.476061,0.227773,0.693384,0.625267,0.47,0.078981,0.328633,Bad
0.466034,0.365365,0.539136,0.363553,0.265139,0.3485,0.440204,0.728183,0.559,0.079417,0.341539,Bad
0.16814,0.367367,0.483401,0.487477,0.428441,0.338796,0.636132,0.677898,0.73,0.138362,0.467127,Bad
0.196977,0.087087,0.373414,0.427432,0.400434,0.262173,0.856234,0.676663,0.598,0.113603,0.496588,Bad
0.237603,0.4004,0.485155,0.433383,0.425006,0.341771,0.802799,0.584811,0.808,0.09816,0.301301,Bad
0.376275,0.338338,0.334953,0.332615,0.531708,0.196143,0.880407,0.665808,0.503,0.053569,0.359378,Bad
0.220454,0.393393,0.415385,0.444653,0.464424,0.301282,0.750636,0.646703,0.689,0.112728,0.467127,Bad
0.376698,0.492492,0.533198,0.55917,0.620063,0.355582,0.55598,0.816005,0.821,0.137838,0.43496,Bad
0.265132,0.467467,0.496626,0.458533,0.410414,0.366771,0.410941,0.57579,0.81,0.118526,0.49882,Bad
0.13831,0.67968,0.355735,0.47529,0.580923,0.257126,0.689567,0.670224,0.623,0.111186,0.464126,Bad
0.401097,0.409409,0.37058,0.244199,0.528189,0.169884,0.984733,0.596066,0.41,0.00722,0.220736,Bad
0.22307,0.394394,0.48475,0.499068,0.423514,0.361751,0.594148,0.699133,0.746,0.147716,0.472325,Bad
0.227635,0.309309,0.417409,0.337562,0.312602,0.278393,0.793893,0.626205,0.557,0.079716,0.328633,Bad
0.192876,0.314314,0.41552,0.424904,0.446849,0.299462,0.877863,0.657399,0.7,0.106965,0.458326,Bad
0.137254,0.677678,0.350067,0.345477,0.355956,0.24586,0.917303,0.614509,0.435,0.059444,0.455459,Bad
0.32114,0.474474,0.513495,0.502865,0.546973,0.345472,0.622137,0.720914,0.752,0.124358,0.434728,Bad
0.388368,0.176176,0.35803,0.309389,0.473699,0.204369,0.872774,0.652388,0.57,0.015413,0.467595,Bad
0.171545,0.486486,0.431714,0.45041,0.501401,0.280015,0.749364,0.662648,0.6,0.103726,0.464126,Bad
0.325738,0.336336,0.50135,0.45269,0.459714,0.313884,0.604326,0.661692,0.704,0.097493,0.505301,Bad
0.41717,0.462462,0.332389,0.290776,0.591463,0.177164,0.889313,0.646248,0.476,0.04955,0.143366,Bad
0.43012,0.717718,0.392982,0.63296,0.862576,0.275045,0.802799,0.896725,0.781,0.107457,0.40226,Bad
0.285269,0.561562,0.417544,0.548912,0.643452,0.275516,0.46056,0.8229,0.745,0.108821,0.509767,Bad
0.341379,0.673674,0.560729,0.644756,0.804193,0.356151,0.749364,0.913264,0.783,0.102792,0.46676,Bad
0.049334,0.24024,0.483536,0.39644,0.355933,0.237027,0.938931,0.611556,0.398,0.062525,0.464126,Bad
0.28667,0.263263,0.451957,0.45482,0.356626,0.349934,0.334606,0.74716,0.456,0.245977,0.431199,Bad
0.372409,0.444444,0.419028,0.372226,0.594388,0.223971,0.722646,0.710577,0.543,0.055888,0.448668,Bad
