@relation 'HOI_cleanedUp-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1-weka.filters.unsupervised.attribute.Remove-V-R1,4,8,13,15,17-19'

@attribute Rural~Urban numeric
@attribute Affordability numeric
@attribute 'Food Accessibility' numeric
@attribute 'Material Deprivation' numeric
@attribute 'Community Environment Profile' numeric
@attribute 'Economic Opportunity Profile' numeric
@attribute 'Wellness Disparity Profile' numeric
@attribute 'Health Opportunity Index' {Bad,Medium,Good}

@data
1,0.227227,0.933302,0.266198,0.421475,0.318119,0.483834,Bad
1,0.448448,0.933302,0.352181,0.493905,0.370385,0.293549,Bad
1,0.38038,0.732638,0.213888,0.407914,0.293274,0.484891,Bad
1,0.434434,0.995658,0.354145,0.451454,0.278031,0.347743,Bad
1,0.477477,0.983102,0.484566,0.28715,0.225582,0.086747,Bad
1,0.524525,0.933302,0.279383,0.48824,0.319218,0.37657,Bad
1,0.486486,0.942139,0.488169,0.406771,0.205432,0.383956,Bad
0,0.336336,0.788597,0.263716,0.320419,0.268026,0.40555,Bad
1,0.557558,0.964815,0.540816,0.294382,0.142342,0.351195,Bad
1,0.563564,0.933302,0.323512,0.524039,0.281051,0.481281,Bad
1,0.419419,0.976362,0.325738,0.435704,0.308297,0.312168,Bad
1,0.521522,0.933302,0.292209,0.499764,0.333237,0.385381,Bad
1,0.551552,0.99646,0.373905,0.321992,0.216457,0.258905,Bad
1,0.336336,0.933302,0.300637,0.38782,0.268718,0.377012,Bad
1,0.382382,0.781548,0.279542,0.372888,0.303691,0.340446,Bad
0,0.352352,0.942139,0.394328,0.300294,0.212179,0.323132,Bad
1,0.448448,0.999874,0.445607,0.357868,0.222902,0.378296,Bad
1,0.293293,0.952669,0.183462,0.397179,0.324958,0.430714,Bad
1,0.577578,0.991216,0.365564,0.449067,0.245343,0.391361,Bad
1,0.6997,0.933302,0.435661,0.525298,0.264829,0.280898,Bad
1,0.417417,0.354073,0.626455,0.319349,0.351305,0.278636,Bad
1,0.613614,0.933302,0.360765,0.513649,0.316132,0.363897,Bad
1,0.566567,0.933302,0.384796,0.534235,0.324411,0.291703,Bad
1,0.431431,0.942139,0.313621,0.439933,0.241366,0.614745,Bad
0,0.502503,0.676607,0.433841,0.291475,0.223828,0.339327,Bad
1,0.551552,0.933302,0.286084,0.485564,0.33695,0.309605,Bad
0,0.391391,0.942139,0.446566,0.231839,0.171595,0.339313,Bad
1,0.353353,0.933302,0.162788,0.445731,0.352553,0.475884,Bad
0,0.414414,0.918033,0.371344,0.301186,0.200881,0.391065,Bad
1,0.398398,0.942139,0.393192,0.307852,0.230404,0.446399,Bad
1,0.359359,0.933302,0.192102,0.406463,0.296975,0.349233,Bad
1,0.334334,0.942139,0.384702,0.262808,0.189924,0.416208,Bad
1,0.328328,0.995465,0.358965,0.438839,0.247558,0.393048,Bad
0,0.35035,0.942139,0.343491,0.276358,0.258351,0.178351,Bad
0,0.383383,0.942139,0.310062,0.296714,0.196526,0.442549,Bad
1,0.318318,0.980242,0.245123,0.401345,0.275598,0.422811,Bad
1,0.475475,0.932872,0.327628,0.477377,0.301927,0.431091,Bad
1,0.462462,0.996702,0.374091,0.440004,0.285022,0.356129,Bad
1,0.615616,0.933302,0.429714,0.494443,0.205476,0.551582,Bad
0,0.526527,0.942139,0.400454,0.309656,0.17092,0.326994,Bad
0,0.418418,0.572933,0.37267,0.335088,0.329614,0.361264,Bad
0,0.471471,0.998995,0.409266,0.294661,0.202326,0.244549,Bad
1,0.37037,0.999698,0.449719,0.269671,0.166929,0.382633,Bad
1,0.504505,0.936152,0.303825,0.404216,0.282053,0.391224,Bad
1,0.315315,0.933302,0.233507,0.424944,0.345694,0.381284,Bad
0,0.458458,0.924885,0.310393,0.310726,0.247289,0.235052,Bad
