@relation 'HOI_cleanedUp-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1-weka.filters.unsupervised.attribute.Remove-V-R13,4,6,15,9,16-18,10,7,19'

@attribute 'Material Deprivation' numeric
@attribute Affordability numeric
@attribute 'Population Churning' numeric
@attribute 'Community Environment Profile' numeric
@attribute 'Income Inequality' numeric
@attribute 'Consumer Opportunity Profile' numeric
@attribute 'Economic Opportunity Profile' numeric
@attribute 'Wellness Disparity Profile' numeric
@attribute 'Job Participation' numeric
@attribute Education numeric
@attribute 'Health Opportunity Index' {Bad,Medium,Good}

@data
0.175519,0.451451,0.568702,0.429606,0.433468,0.470524,0.287965,0.43402,0.648,0.686566,Bad
0.34433,0.431431,0.639949,0.360533,0.456005,0.491136,0.266439,0.301671,0.586,0.684477,Bad
0.336439,0.650651,0.470738,0.627661,0.57112,0.7061,0.379721,0.381179,0.833,0.879575,Bad
0.41224,0.468468,0.90458,0.283613,0.426451,0.563393,0.193035,0.268021,0.39,0.618629,Bad
0.352491,0.457457,0.492366,0.499193,0.522267,0.495253,0.324237,0.385489,0.633,0.67266,Bad
0.226968,0.257257,0.908397,0.375679,0.426316,0.344937,0.281803,0.395715,0.596,0.603697,Bad
0.547192,0.654655,0.594148,0.458012,0.358704,0.869984,0.185793,0.328208,0.579,0.877363,Bad
0.456783,0.274274,0.851145,0.292411,0.312955,0.339949,0.211883,0.502826,0.455,0.642433,Bad
0.431445,0.497497,0.913486,0.279094,0.377733,0.603367,0.189207,0.150118,0.464,0.696114,Bad
0.390905,0.417417,0.732824,0.351875,0.417949,0.366527,0.268676,0.430653,0.521,0.662791,Bad
0.298161,0.510511,0.756997,0.535695,0.45641,0.578928,0.336023,0.364113,0.796,0.724919,Bad
0.232458,0.34034,0.725191,0.391827,0.445479,0.150123,0.338447,0.466931,0.717,0.563495,Bad
0.408042,0.550551,0.729008,0.416105,0.327935,0.719817,0.217757,0.262345,0.63,0.802705,Bad
0.271848,0.50951,0.830789,0.449434,0.400945,0.589121,0.273097,0.375276,0.614,0.709562,Bad
0.371742,0.411411,0.594148,0.528056,0.408637,0.467646,0.31276,0.473915,0.804,0.768518,Bad
0.36824,0.437437,0.704835,0.382007,0.35857,0.531396,0.239237,0.358845,0.592,0.602599,Bad
0.202996,0.314314,0.916031,0.386212,0.489204,0.208699,0.352658,0.367977,0.675,0.659077,Bad
0.421404,0.473473,0.90458,0.305825,0.373009,0.63292,0.18793,0.208069,0.556,0.71148,Bad
0.46137,0.398398,0.319338,0.422838,0.495816,0.340351,0.385375,0.227446,0.628,0.748389,Bad
